id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,upstream_id,parent_id,slug,record_sha256
housing_page:1046,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/place-vanier/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1046,vancouver,Place Vanier Fees,2026-08-25T20:09:05Z,2026-09-10T23:22:11Z,1046,housing_page:48,place-vanier,821a937c3aa45ce7620799e2afadb6fe8720f2934d2be6cbf0aefcdfd6bf9d69
housing_page:1059,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/fairview-crescent/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1059,vancouver,Fairview Crescent Fees,2026-08-25T20:05:16Z,2026-09-10T23:22:11Z,1059,housing_page:48,fairview-crescent,979664102f9d9ed5bbb4c4009231f70bbfc49f757a84f5aa450c6459291b6d34
housing_page:1062,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/fraser-hall/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1062,vancouver,Fraser Hall Fees,2026-06-04T21:37:18Z,2026-09-10T23:22:11Z,1062,housing_page:48,fraser-hall,e5d792bc53b5f5addf2a85e9c962e360a854cfd446a1780d94a264c02b1218e4
housing_page:1067,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/marine-drive/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1067,vancouver,Marine Drive Fees,2026-06-04T21:38:04Z,2026-09-10T23:22:11Z,1067,housing_page:48,marine-drive,6f455cd9fc264b8ecfed86afe3b21c9abe17cb58ba763478126161668d4ebd6a
housing_page:1069,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/ponderosa-commons/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1069,vancouver,Ponderosa Commons Fees,2026-06-04T21:28:31Z,2026-09-10T23:22:11Z,1069,housing_page:48,ponderosa-commons,59d61e65d43830b746a3984f3cdb33c6291df7b9defe42313f44edd91f1d655a
housing_page:1071,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/ritsumeiken-ubc/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1071,vancouver,Ritsumeikan-UBC House Fees,2026-08-25T20:10:51Z,2026-09-10T23:22:11Z,1071,housing_page:48,ritsumeiken-ubc,eebf5cbe06ed46d2d139fd63ba6f2a2b360582768d0eb6ba38c426f23cd29338
housing_page:1073,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/thunderbird/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1073,vancouver,Thunderbird Fees,2026-06-04T21:39:03Z,2026-09-10T23:22:11Z,1073,housing_page:48,thunderbird,2ca84f1c20699d7df1467742e84b211848ca9aff98a959a9d4e8e9e39c8da4bb
housing_page:1075,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/totem-park/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1075,vancouver,Totem Park Fees,2026-08-25T20:12:07Z,2026-09-10T23:22:11Z,1075,housing_page:48,totem-park,7a13102828449cee3141f99d8f464a418bfb37daf3eea10c176dc926292e18d1
housing_page:1077,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/walter-gage/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/1077,vancouver,Walter Gage Fees,2026-08-25T20:15:47Z,2026-09-10T23:22:11Z,1077,housing_page:48,walter-gage,03190ced5adc3fcffb404a4f073251232f4de43e9518f4c4c285a9c2bcd7d3ba
housing_page:11293,housing_page,https://vancouver.housing.ubc.ca/applications/fees-payments/exchange-fees/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/11293,vancouver,Exchange Fees,2026-06-04T21:36:54Z,2026-09-10T23:22:11Z,11293,housing_page:48,exchange-fees,5e4d1c3b12a5f1d1e4ff58098285d4e58eb73a55189130a9d302f07a0182429b
