id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,upstream_id,parent_id,slug,record_sha256
housing_page:16817,housing_page,https://vancouver.housing.ubc.ca/applications/refunds/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/16817,vancouver,Refunds,2024-07-16T20:43:10Z,2026-09-10T23:22:11Z,16817,housing_page:44,refunds,dbce6aba871a77d962bfd0ce7da3ab90299ee744caca29eba65a643806cd856f
housing_page:17282,housing_page,https://vancouver.housing.ubc.ca/getting-started/winter-session-residence-guide/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/17282,vancouver,Winter Session Residence Guide,2026-09-10T21:49:31Z,2026-09-10T23:22:11Z,17282,housing_page:63,winter-session-residence-guide,7ffde1d8a7ff8533a5d1f4450216dffda7045e7f7367fab7598c49f10c4fa405
housing_page:17468,housing_page,https://vancouver.housing.ubc.ca/getting-started/year-round-residence-guide/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/17468,vancouver,Year Round Residence Guide,2025-01-31T22:41:33Z,2026-09-10T23:22:11Z,17468,housing_page:63,year-round-residence-guide,ac734e2bca3fc58070406014b088e30c649b39f6d9ca6d02461848a1ae9c9280
housing_page:21598,housing_page,https://vancouver.housing.ubc.ca/applications/designated-roommates/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/21598,vancouver,Designated Roommates,2026-07-21T17:28:59Z,2026-09-10T23:22:11Z,21598,housing_page:44,designated-roommates,de8d5222691fca4efab405542c9144be21b8535833aa04a9a46dc304588920d1
housing_page:21697,housing_page,https://vancouver.housing.ubc.ca/applications/how-we-assign-rooms/roommate-assignments/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/21697,vancouver,Roommate Assignments,2025-03-14T17:02:46Z,2026-09-10T23:22:11Z,21697,housing_page:54,roommate-assignments,c8b6d70522325229f6a068fda0876e5f677b0d60127a9e4ad25c052db86ae745
housing_page:23325,housing_page,https://vancouver.housing.ubc.ca/applications/eligibility/summer-residence/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/23325,vancouver,Additional eligibility: Summer Residence,2025-09-15T16:45:26Z,2026-09-10T23:22:11Z,23325,housing_page:50,summer-residence,d96d2fa929cf26eed29353f49cbd9a2ffc03b71306f65a7a42c76e394b47b553
housing_page:23333,housing_page,https://vancouver.housing.ubc.ca/applications/eligibility/arriving-early/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/23333,vancouver,Eligibility: Arriving early,2026-07-13T16:59:42Z,2026-09-10T23:22:11Z,23333,housing_page:50,arriving-early,133e647729a26d656a2c31cd87e856ef7ce11bf5ff6d24eb98ad3e085e98c27c
housing_page:2623,housing_page,https://vancouver.housing.ubc.ca/applications/essential-facts/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/2623,vancouver,Essential Application Facts,2026-02-04T16:05:38Z,2026-09-10T23:22:11Z,2623,housing_page:44,essential-facts,96e9f8b6aa9d3b9b43d86bcde7807653aedc78ae2be0d31d3e9b16cafcc97984
housing_page:381,housing_page,https://vancouver.housing.ubc.ca/other-housing/off-campus-housing/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/381,vancouver,Living Off Campus,2026-07-29T23:44:51Z,2026-09-10T23:22:11Z,381,housing_page:379,off-campus-housing,bdea74bcd882bbb4c3d45787970ec030c9a247255a551173bfe2b29103fbc0dd
housing_page:46,housing_page,https://vancouver.housing.ubc.ca/applications/how-to-apply/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/46,vancouver,How To Apply,2026-05-04T22:29:07Z,2026-09-10T23:22:11Z,46,housing_page:44,how-to-apply,f9bf4aae840be3d15e813b7ba1c3690d5d29d2970b54b30542dae0af65437fb2
housing_page:50,housing_page,https://vancouver.housing.ubc.ca/applications/eligibility/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/50,vancouver,Eligibility,2025-09-15T16:42:00Z,2026-09-10T23:22:11Z,50,housing_page:44,eligibility,3dba921aaa02cb7ee79067977bc78ee80a7adc3f1cf603af3bd54ec723ecc2c8
housing_page:54,housing_page,https://vancouver.housing.ubc.ca/applications/how-we-assign-rooms/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/54,vancouver,How We Assign Rooms,2025-09-12T23:50:25Z,2026-09-10T23:22:11Z,54,housing_page:44,how-we-assign-rooms,24fc4c80123fd0979768e9ea2d1a92dc7aa0aec041f1e277cb47296a668397af
housing_page:56,housing_page,https://vancouver.housing.ubc.ca/applications/residence-contracts/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/56,vancouver,Residence Contracts,2026-07-03T23:45:23Z,2026-09-10T23:22:11Z,56,housing_page:44,residence-contracts,7fde1189489cf586e935899684b5562df55cfa3e4a9f55c5820313f7f3793bb8
housing_page:58,housing_page,https://vancouver.housing.ubc.ca/applications/cancellations-refunds/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/58,vancouver,Cancellations,2026-09-08T20:45:54Z,2026-09-10T23:22:11Z,58,housing_page:44,cancellations-refunds,cd73d5ec8d06692bdec328a3f0c8219eecd01ad1d6429007fad5670d9110b3c0
housing_page:65,housing_page,https://vancouver.housing.ubc.ca/applications/important-dates/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/65,vancouver,Important Dates,2026-08-25T20:23:29Z,2026-09-10T23:22:11Z,65,housing_page:44,important-dates,37eb44e672825c56230798766f917fb24cbfc24e731c945c1ccf7217c17e5df0
housing_page:6747,housing_page,https://vancouver.housing.ubc.ca/applications/subletting/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/6747,vancouver,Subletting,2026-06-25T23:29:26Z,2026-09-10T23:22:11Z,6747,housing_page:44,subletting,a14aef32208b7cdc1afc494da2a051503cd2657e6034be415c23a5829da1ea52
housing_page:885,housing_page,https://vancouver.housing.ubc.ca/applications/how-to-apply/application-forms/,https://vancouver.housing.ubc.ca/wp-json/wp/v2/pages/885,vancouver,Application Forms,2026-08-31T18:46:57Z,2026-09-10T23:22:11Z,885,housing_page:46,application-forms,67c7da8d42da16d0928f429ebdd23099957e5a60d6cc7340b3241b5d21a5b694
