id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,slug,beds,undergraduate_audience,front_desk_text,fee_urls,fee_page_ids,room_type_ids,record_sha256
housing_residence:brock-commons,housing_residence,https://vancouver.housing.ubc.ca/residences/brock-commons/,,vancouver,Brock Commons,2026-02-23T13:52:22-08:00,2026-09-10T23:22:11Z,brock-commons,1002,True,"Brock Commons Front Desk Brock Commons North 6177 Walter Gage Road Vancouver, B.C. V6T 1Z1 Tel: 604 822 2001 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/brock-commons-tallwood-house-fees/""]","[""housing_page:8566""]","[""housing_room:four-bedroom-suite"", ""housing_room:studio-suite"", ""housing_room:accessible-rooms-and-suites""]",6ab3e5d067df15d5525640c9fa2575b87dc2c2e52ebbab37c4c2c74a8985ad6a
housing_residence:exchange,housing_residence,https://vancouver.housing.ubc.ca/residences/exchange/,,vancouver,Exchange,2025-04-25T17:58:42-07:00,2026-09-10T23:22:11Z,exchange,650,True,"Exchange Front Desk Front Desk at tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ 5955 Student Union Blvd. Vancouver, BC V6T 1K2 Tel: 604 822 6565 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/exchange-fees/""]","[""housing_page:11293""]","[""housing_room:one-bedroom-suite"", ""housing_room:two-bedroom-suite"", ""housing_room:four-bedroom-suite"", ""housing_room:studio-suite"", ""housing_room:nano"", ""housing_room:townhouse"", ""housing_room:accessible-rooms-and-suites""]",ae53eaac1cd63cce62a0e9fde4e0906f44747bfc34e4b6cee8654b6753a05d91
housing_residence:fairview-crescent,housing_residence,https://vancouver.housing.ubc.ca/residences/fairview-crescent/,,vancouver,Fairview Crescent,2025-04-25T17:59:00-07:00,2026-09-10T23:22:11Z,fairview-crescent,772,True,"Fairview Crescent Front Desk 2707 Tennis Crescent Vancouver, B.C. V6T 2C1 Tel: 604 822 3172 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/fairview-crescent/""]","[""housing_page:1059""]","[""housing_room:one-bedroom-suite"", ""housing_room:four-bedroom-suite"", ""housing_room:six-bedroom""]",3430faef0bd38933b36033f7e3818850d3ce74d3eb5af83e6c16d043e743889d
housing_residence:fraser-hall,housing_residence,https://vancouver.housing.ubc.ca/residences/fraser-hall/,,vancouver,Fraser Hall,2026-05-06T16:12:45-07:00,2026-09-10T23:22:11Z,fraser-hall,132,True,"Front Desk 2707 Tennis Crescent Vancouver, B.C. V6T 2C1 Tel: 604 822 3172 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/fraser-hall/""]","[""housing_page:1062""]","[""housing_room:six-bedroom""]",8ac02098c2c5e8db9b5aa3dfa0e51fde62da3a0fd263923d2a03fb332984ad41
housing_residence:houses-of-ones-belonging-to-saltwater,housing_residence,https://vancouver.housing.ubc.ca/residences/houses-of-ones-belonging-to-saltwater/,,vancouver,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ,2025-10-20T15:21:48-07:00,2026-09-10T23:22:11Z,houses-of-ones-belonging-to-saltwater,744,True,"Front Desk at tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ 5955 Student Union Blvd. Vancouver, BC V6T 1K2 Tel: 604 822 6565 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/houses-of-ones-belonging-to-saltwater-fees/""]","[""housing_page:14266""]","[""housing_room:four-bedroom-suite"", ""housing_room:studio-suite"", ""housing_room:accessible-rooms-and-suites""]",b384ac29e9b470975298c4b77e10f41462ff797f0c84292652e37a2a650ff3e8
housing_residence:iona-house,housing_residence,https://vancouver.housing.ubc.ca/residences/iona-house/,,vancouver,Iona House,2026-07-02T15:41:21-07:00,2026-09-10T23:22:11Z,iona-house,23,True,"Iona House Front Desk (Brock Commons North Front Desk) 6177 Walter Gage Road Vancouver, B.C. V6T 1Z1 Tel: 604 822 2001 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/iona-house-fees/""]","[""housing_page:7588""]","[""housing_room:one-bedroom-suite"", ""housing_room:two-bedroom-suite"", ""housing_room:studio-suite""]",9ffda5b8c9e371639dde8a0997400091a2f902b4cbbfdeb4d91b56ce96b413c0
housing_residence:marine-drive-residence,housing_residence,https://vancouver.housing.ubc.ca/residences/marine-drive-residence/,,vancouver,Marine Drive,2025-12-01T16:32:40-08:00,2026-09-10T23:22:11Z,marine-drive-residence,1603,True,"Marine Drive Front Desk 2205 Lower Mall Vancouver, B.C. V6T 1Z4 Tel: 604 827 3242 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/marine-drive/""]","[""housing_page:1067""]","[""housing_room:two-bedroom-suite"", ""housing_room:three-bedroom-suite"", ""housing_room:four-bedroom-suite"", ""housing_room:studio-suite"", ""housing_room:accessible-rooms-and-suites""]",219772cf048dbee82b74208a378e4585f751cbffd8e68f7474d79d85ceb62f28
housing_residence:orchard-commons,housing_residence,https://vancouver.housing.ubc.ca/residences/orchard-commons/,,vancouver,Orchard Commons,2025-04-25T18:01:38-07:00,2026-09-10T23:22:11Z,orchard-commons,1035,True,"Orchard Commons Front Desk 6363 Agronomy Road Vancouver, B.C. V6T 1Z4 Tel: 604 827 2778 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/orchard-commons/""]","[""housing_page:7759""]","[""housing_room:connected-single-room"", ""housing_room:shared-room""]",84a07be0cf25e22ee435da128305a1f2f1d8d6858671b5124ebfdfccfeb9705d
housing_residence:place-vanier,housing_residence,https://vancouver.housing.ubc.ca/residences/place-vanier/,,vancouver,Place Vanier,2025-12-01T16:28:20-08:00,2026-09-10T23:22:11Z,place-vanier,1422,True,"Place Vanier Front Desk 1935 Lower Mall Vancouver, B.C. V6T 1X1 Tel: 604 822 2642 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/place-vanier/""]","[""housing_page:1046""]","[""housing_room:single-traditional-room"", ""housing_room:shared-room""]",a820e295ee612a05ef94d09e781c46ff6e7d4f3ecf2e3cf5704ed4d2a33a1a4e
housing_residence:ponderosa-commons,housing_residence,https://vancouver.housing.ubc.ca/residences/ponderosa-commons/,,vancouver,Ponderosa Commons,2025-12-01T16:29:58-08:00,2026-09-10T23:22:11Z,ponderosa-commons,1156,True,"Ponderosa Commons Front Desk 2075 West Mall Vancouver, BC V6T 1Z2 Tel: 604 822 2708 information@housing.ubc.ca","[""https://vancouver.housing.ubc.ca/applications/fees-payments/ponderosa-commons/""]","[""housing_page:1069""]","[""housing_room:two-bedroom-suite"", ""housing_room:four-bedroom-suite"", ""housing_room:studio-suite"", ""housing_room:accessible-rooms-and-suites""]",11cf99f7486555cd5f995e87b3c190a2ad1a50dfb7e5ae33aeb01d42491eca81
