id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,slug,residence_ids,record_sha256
housing_room:accessible-rooms-and-suites,housing_room,https://vancouver.housing.ubc.ca/rooms/accessible-rooms-and-suites/,,vancouver,Accessible Rooms and Suites,2025-09-12T17:41:37-07:00,2026-09-10T23:22:11Z,accessible-rooms-and-suites,"[""housing_residence:totem-park"", ""housing_residence:marine-drive-residence"", ""housing_residence:ponderosa-commons"", ""housing_residence:thunderbird"", ""housing_residence:walter-gage"", ""housing_residence:brock-commons"", ""housing_residence:exchange"", ""housing_residence:houses-of-ones-belonging-to-saltwater""]",a48cf5441bbc5568119dc6e19601982c2f53229d5b102cc31201972383fa703f
housing_room:connected-single-room,housing_room,https://vancouver.housing.ubc.ca/rooms/connected-single-room/,,vancouver,Connected Single Room,2024-08-22T13:59:13-07:00,2026-09-10T23:22:11Z,connected-single-room,"[""housing_residence:totem-park"", ""housing_residence:orchard-commons""]",a4772712425a8da044b943cf6542b941b8870890aa406f6d20eba50cc79ed0e5
housing_room:four-bedroom-suite,housing_room,https://vancouver.housing.ubc.ca/rooms/four-bedroom-suite/,,vancouver,Four Bedroom Suite,2025-01-24T14:24:16-08:00,2026-09-10T23:22:11Z,four-bedroom-suite,"[""housing_residence:fairview-crescent"", ""housing_residence:marine-drive-residence"", ""housing_residence:ponderosa-commons"", ""housing_residence:ritsumeikan-ubc-house"", ""housing_residence:thunderbird"", ""housing_residence:brock-commons"", ""housing_residence:exchange"", ""housing_residence:houses-of-ones-belonging-to-saltwater""]",b349a6facb610806ca321d8961430201ab5fa0450d45b5286c9459c808aeeade
housing_room:nano,housing_room,https://vancouver.housing.ubc.ca/rooms/nano/,,vancouver,Nano Suite,2024-06-25T14:42:26-07:00,2026-09-10T23:22:11Z,nano,"[""housing_residence:exchange""]",31d140d42085fcd7765e91873528bf3e669b90ed2c14aa9b9d4bd0bedb4f2326
housing_room:one-bedroom-suite,housing_room,https://vancouver.housing.ubc.ca/rooms/one-bedroom-suite/,,vancouver,One Bedroom Suite,2025-06-24T12:22:14-07:00,2026-09-10T23:22:11Z,one-bedroom-suite,"[""housing_residence:fairview-crescent"", ""housing_residence:thunderbird"", ""housing_residence:walter-gage"", ""housing_residence:iona-house"", ""housing_residence:exchange""]",4808dd48a5373594bf5f374817d2fa6ebb0e70bdee3d57726653c8b954119e31
housing_room:shared-room,housing_room,https://vancouver.housing.ubc.ca/rooms/shared-room/,,vancouver,Shared Room,2024-11-21T16:26:01-08:00,2026-09-10T23:22:11Z,shared-room,"[""housing_residence:totem-park"", ""housing_residence:place-vanier"", ""housing_residence:orchard-commons""]",f6a10ac168d2d8555beba6ac4f02585b37d18d549757fb149eeb86e23d6cdca6
housing_room:single-traditional-room,housing_room,https://vancouver.housing.ubc.ca/rooms/single-traditional-room/,,vancouver,Single Traditional Room,2024-06-25T14:45:55-07:00,2026-09-10T23:22:11Z,single-traditional-room,"[""housing_residence:totem-park"", ""housing_residence:place-vanier""]",6a398ebc10c71cb57243a95a8dac23484f22f5cde892f72b717600e013f052ee
housing_room:six-bedroom,housing_room,https://vancouver.housing.ubc.ca/rooms/six-bedroom/,,vancouver,Six Bedroom Suite,2024-06-25T14:37:12-07:00,2026-09-10T23:22:11Z,six-bedroom,"[""housing_residence:fairview-crescent"", ""housing_residence:fraser-hall"", ""housing_residence:walter-gage""]",54bc0e7d0ffcb233883f95273a577903cd89a9e24d28c8d778897025b579449d
housing_room:studio-suite,housing_room,https://vancouver.housing.ubc.ca/rooms/studio-suite/,,vancouver,Studio Suite,2025-03-14T10:23:49-07:00,2026-09-10T23:22:11Z,studio-suite,"[""housing_residence:marine-drive-residence"", ""housing_residence:ponderosa-commons"", ""housing_residence:thunderbird"", ""housing_residence:walter-gage"", ""housing_residence:iona-house"", ""housing_residence:brock-commons"", ""housing_residence:exchange"", ""housing_residence:houses-of-ones-belonging-to-saltwater""]",639262e42e0d681d2cafc96cc36b0493172b7c887531d4d12afb7429fc0ac277
housing_room:three-bedroom-suite,housing_room,https://vancouver.housing.ubc.ca/rooms/three-bedroom-suite/,,vancouver,Three Bedroom Suite,2024-06-25T14:32:46-07:00,2026-09-10T23:22:11Z,three-bedroom-suite,"[""housing_residence:marine-drive-residence""]",d446b588fbdb401e1ee43362bf30e5c988a1f64206c1559d9063908c003b87cc
housing_room:townhouse,housing_room,https://vancouver.housing.ubc.ca/rooms/townhouse/,,vancouver,Townhouse,2025-03-14T10:09:26-07:00,2026-09-10T23:22:11Z,townhouse,"[""housing_residence:exchange""]",784d4663bc34c77a0a6091c450fec707b7c7783a46b3c9a72bac2c17959670ec
housing_room:two-bedroom-suite,housing_room,https://vancouver.housing.ubc.ca/rooms/two-bedroom-suite/,,vancouver,Two Bedroom Suite,2024-06-25T14:30:47-07:00,2026-09-10T23:22:11Z,two-bedroom-suite,"[""housing_residence:marine-drive-residence"", ""housing_residence:ponderosa-commons"", ""housing_residence:thunderbird"", ""housing_residence:iona-house"", ""housing_residence:exchange""]",eb9090e2926f0a5261704b9102dd805cb9a107ac483bc0dbc2cafacad682d876
