id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,hours_id,slug,website,address_text,contact_text,accessibility_url,latitude,longitude,map_url,location_type,booking_lid,record_sha256
library_hours:11,library_hours,https://hours.library.ubc.ca/#chapman,,vancouver,Chapman Learning Commons Help Desk,,2026-09-10T23:22:28Z,11,chapman,https://learningcommons.ubc.ca/,"Irving K. Barber Learning Centre 1961 East Mall Vancouver, BC V6T 1Z1",(604) 827-3909,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-ikblc/,49.267611,-123.25204,"https://maps.google.com/maps?q=49.267611,-123.25204+(Chapman+Learning+Commons+Help+Desk)&z=16&ll=49.267611,-123.25204&iwloc=A",physical,,84b48f8056555beff566521fb340c74fb14a5c4ad2e5e444793598d9fa0c7e4a
library_hours:13,library_hours,https://hours.library.ubc.ca/#rbsc,,vancouver,Rare Books and Special Collections,,2026-09-10T23:22:28Z,13,rbsc,https://rbsc.library.ubc.ca/,"Irving K. Barber Learning Centre 1961 East Mall Vancouver, BC V6T 1Z1",(604) 822-2521,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-ikblc/,49.267611,-123.25204,"https://maps.google.com/maps?q=49.267611,-123.25204+(Rare+Books+and+Special+Collections)&z=16&ll=49.267611,-123.25204&iwloc=A",physical,,0086b914d6f9d8493925ec9fef306858935bea44a1061f2444c9b751ee42ed19
library_hours:15,library_hours,https://hours.library.ubc.ca/#archives,,vancouver,University Archives,,2026-09-10T23:22:28Z,15,archives,https://www.library.ubc.ca/archives/,"Irving K. Barber Learning Centre 1961 East Mall Vancouver, BC V6T 1Z1",(604) 822-5877,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-ikblc/,49.267611,-123.25204,"https://maps.google.com/maps?q=49.267611,-123.25204+(University+Archives)&z=16&ll=49.267611,-123.25204&iwloc=A",physical,,6e06fd10c056c02c4c0ca9096d64fa41641854cb6b887e47e011c08f2013dd9a
library_hours:17,library_hours,https://hours.library.ubc.ca/#law,,vancouver,Law Library,,2026-09-10T23:22:28Z,17,law,https://law.library.ubc.ca/,"Law Library 1822 East Mall Vancouver, BC V6T 1Z1",(604) 822-4238,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-law-library/,49.269499,-123.253543,"https://maps.google.com/maps?q=49.269499,-123.253543+(Law+Library)&z=16&ll=49.269499,-123.253543&iwloc=A",physical,,773538cdd2704008a5ebe20cdd1d04498a7ac733008a34f2df909bf0f7c7fea8
library_hours:2,library_hours,https://hours.library.ubc.ca/#koerner,,vancouver,Koerner Library,,2026-09-10T23:22:28Z,2,koerner,https://koerner.library.ubc.ca,"Walter C. Koerner Library 1958 Main Mall Vancouver, BC V6T 1Z2",(604) 822-2406,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-koerner-library/,49.2666,-123.255143,"https://maps.google.com/maps?q=49.2666,-123.255143+(Koerner+Library)&z=16&ll=49.2666,-123.255143&iwloc=A",physical,1788,10de183aef1565c053d1d655df482dc34ae6c9f25c84324c5f2be3ba903937c6
library_hours:21,library_hours,https://hours.library.ubc.ca/#biomedical,,vancouver,Biomedical Branch Library,,2026-09-10T23:22:28Z,21,biomedical,https://woodward.library.ubc.ca/bmb/,"Gordon and Leslie Diamond Health Care Centre 2775 Laurel Street, Floor 2 Vancouver, BC V5Z 1M9",(604) 875-4505,,49.260848,-123.125474,"https://maps.google.com/maps?q=49.260848,-123.125474+(Biomedical+Branch+Library)&z=16&ll=49.260848,-123.125474&iwloc=A",physical,,ed0973de00ca54a69de74bf78f8ad5c25d5a94abbd93439ac959dda6a982764f
library_hours:23,library_hours,https://hours.library.ubc.ca/#woodward,,vancouver,Woodward Library,,2026-09-10T23:22:28Z,23,woodward,https://woodward.library.ubc.ca,"Woodward Library 2198 Health Sciences Mall Vancouver, BC V6T 1Z3",(604) 822-2883,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-woodward-library/,49.26415,-123.247779,"https://maps.google.com/maps?q=49.264150,-123.247779+(Woodward+Library)&z=16&ll=49.264150,-123.247779&iwloc=A",physical,1789,a2f026ab3eb786254b07fa7b77972047c45527827d202c07d1a931384b65b2d8
library_hours:25,library_hours,https://hours.library.ubc.ca/#xwi7xwa,,vancouver,Xwi7xwa Library,,2026-09-10T23:22:28Z,25,xwi7xwa,https://xwi7xwa.library.ubc.ca/,"First Nations House of Learning 1985 West Mall Vancouver, BC V6T 1Z2",(604) 822-8738,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-xwi7xwa-library/,49.265744,-123.256468,"https://maps.google.com/maps?q=49.265744,-123.256468+(%3Cu%3EX%3C%2Fu%3Ewi7%3Cu%3Ex%3C%2Fu%3Ewa+Library)&z=16&ll=49.265744,-123.256468&iwloc=A",physical,,c9eb1770193c7224cad12566fbda0a7ae947b0a5ab23cfb9631524a8d417410f
library_hours:3,library_hours,https://hours.library.ubc.ca/#asian,,vancouver,Asian Library,,2026-09-10T23:22:28Z,3,asian,https://asian.library.ubc.ca,"Asian Centre 1871 West Mall Vancouver, BC V6T 1Z2",(604) 822-2427,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-asian-library,49.267148,-123.257625,"https://maps.google.com/maps?q=49.267148,-123.257625+(Asian+Library)&z=16&ll=49.267148,-123.257625&iwloc=A",physical,,1b99c9b8c3d695bac85f0d16bd2e8e13bcb79ded0625ff6b1db07483b8ed362f
library_hours:32,library_hours,https://hours.library.ubc.ca/#researchcommons,,vancouver,Research Commons,,2026-09-10T23:22:28Z,32,researchcommons,https://researchcommons.library.ubc.ca,"4th & 5th Floor, Walter C. Koerner Library 1958 Main Mall Vancouver, BC V6T 1Z2",research.commons@ubc.ca,https://services.library.ubc.ca/facilities/disability-access-by-building/access-guide-koerner-library/,49.2666,-123.255143,"https://maps.google.com/maps?q=49.2666,-123.255143+(Research+Commons)&z=16&ll=49.2666,-123.255143&iwloc=A",physical,1821,2d477a2d0dfe9027dd420f3f0d7ec0850aedbb8fe8365faae081f358771d8bb4
