id,source_url,campus,retrieved_at,branch_id,month,rules,additional_hours_urls,request_url,request_parameters,record_sha256
library_hours:11:2026-09,https://hours.library.ubc.ca/#chapman,vancouver,2026-09-10T23:22:28Z,library_hours:11,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""9am - 10pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""9am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-4"", ""hours_text"": ""10am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 5-6"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""Closed* (Labour Day)""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""Closed* (NDTR)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 11, ""year"": 2026, ""month"": 9}",9ea10daaa0f49ded8e61f7b17bbd04d2ac577cbc147bbd9ca0d5a291795139e0
library_hours:11:2026-10,https://hours.library.ubc.ca/#chapman,vancouver,2026-09-10T23:22:28Z,library_hours:11,2026-10,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""9am - 10pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""9am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Oct 12"", ""hours_text"": ""Closed* (Thanksgiving)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 11, ""year"": 2026, ""month"": 10}",8c0b07a6071cca7c76bf0435ee9d2ebc6e5169b6a872181f2660663313b29f95
library_hours:11:2026-11,https://hours.library.ubc.ca/#chapman,vancouver,2026-09-10T23:22:28Z,library_hours:11,2026-11,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""9am - 10pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""9am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Nov 9-10"", ""hours_text"": ""10am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Nov 11"", ""hours_text"": ""Closed* (Remembrance Day )""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 11, ""year"": 2026, ""month"": 11}",3db8002eba1e330ad9f945bca8d12b0e21d706209ac414a90c8f68661aa8ea05
library_hours:11:2026-12,https://hours.library.ubc.ca/#chapman,vancouver,2026-09-10T23:22:28Z,library_hours:11,2026-12,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""9am - 10pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""9am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 23-24"", ""hours_text"": ""10am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 25-31"", ""hours_text"": ""Closed*""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 11, ""year"": 2026, ""month"": 12}",6ae8f65d0c1d391504439e08354f998ae254a6f476c70e6cd2e69020c680b51b
library_hours:13:2026-09,https://hours.library.ubc.ca/#rbsc,vancouver,2026-09-10T23:22:28Z,library_hours:13,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-4"", ""hours_text"": ""9am - 3pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 5-6"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""Closed* (Labour Day)""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""Closed* (NDTR)""}]","[""https://rbsc.library.ubc.ca/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 13, ""year"": 2026, ""month"": 9}",b4212b3214b5718119ceac0a6420e747eccb7be8a071a425a5eb9a3465ba0e25
library_hours:13:2026-10,https://hours.library.ubc.ca/#rbsc,vancouver,2026-09-10T23:22:28Z,library_hours:13,2026-10,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Oct 12"", ""hours_text"": ""Closed* (Thanksgiving)""}]","[""https://rbsc.library.ubc.ca/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 13, ""year"": 2026, ""month"": 10}",e776f9b8fe38e7743f8f8388726bbc80b5387907bf228b3e750c4d9cc108ec2f
library_hours:13:2026-11,https://hours.library.ubc.ca/#rbsc,vancouver,2026-09-10T23:22:28Z,library_hours:13,2026-11,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Nov 9-10"", ""hours_text"": ""9am - 3pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Nov 11"", ""hours_text"": ""Closed* (Remembrance Day )""}]","[""https://rbsc.library.ubc.ca/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 13, ""year"": 2026, ""month"": 11}",9ae0aad14ac536476abd0a95e0037654595ca2dc3dc2924dc3b614c646a0f907
library_hours:13:2026-12,https://hours.library.ubc.ca/#rbsc,vancouver,2026-09-10T23:22:28Z,library_hours:13,2026-12,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 23-24"", ""hours_text"": ""9am - 3pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 25-31"", ""hours_text"": ""Closed*""}]","[""https://rbsc.library.ubc.ca/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 13, ""year"": 2026, ""month"": 12}",392620808a1fb03a8fd53512263abec90135c22e3583ecef0a6b16a2c948bf09
library_hours:15:2026-09,https://hours.library.ubc.ca/#archives,vancouver,2026-09-10T23:22:28Z,library_hours:15,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-4"", ""hours_text"": ""9am - 3pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 5-6"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""Closed* (Labour Day)""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""Closed* (NDTR)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 15, ""year"": 2026, ""month"": 9}",1766f24c6179bb900f82d76f70ea90935b1cc0825a1b6f75a5ea705046c8fe90
library_hours:15:2026-10,https://hours.library.ubc.ca/#archives,vancouver,2026-09-10T23:22:28Z,library_hours:15,2026-10,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 3pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Oct 12"", ""hours_text"": ""Closed* (Thanksgiving)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 15, ""year"": 2026, ""month"": 10}",61111a2ff130de9802cb3f439eff9b7756354e6eb8b734ce93aced6ed369a271
