id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,upstream_id,related,unavailable_relationships,policy_number,legacy_policy_number,long_title,policy_date,procedures_date,guidelines_date,rules_date,lifecycle,linked_from_search,content_kind,record_sha256
university_counsel:0b40bb20-740f-422f-af5c-e3f6e43bfeb0,university_counsel,https://universitycounsel.ubc.ca/policies/late-payment-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/0b40bb20-740f-422f-af5c-e3f6e43bfeb0,,Late Payment Policy,2025-10-27T23:04:55+00:00,2026-09-10T23:22:07Z,0b40bb20-740f-422f-af5c-e3f6e43bfeb0,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07""], ""responsible_executive"": [], ""rules"": []}",[],FM1,67,Late Payment and Fees and Accounts,2019-07-01,2002-07-01,,,listed,True,policy_index,0cc0a201d2aabc60a8d877b8b66145f9b5ddf995ea56112a64b1cf10f4cf99a9
university_counsel:2b64cf5a-2360-4d1d-83c2-8ec384a69457,university_counsel,https://universitycounsel.ubc.ca/policies/scholarly-integrity-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/2b64cf5a-2360-4d1d-83c2-8ec384a69457,,Scholarly Integrity Policy,2025-10-27T23:04:55+00:00,2026-09-10T23:22:07Z,2b64cf5a-2360-4d1d-83c2-8ec384a69457,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07""], ""responsible_executive"": [], ""rules"": []}",[],SC6,85,Scholarly Integrity,2019-09-01,2025-05-01,,,listed,True,policy_index,2b6c65bb348d02913231ff575458a3df64f54df29c56d49d7145ea9f2625b637
university_counsel:375c14c5-3041-45d1-9f26-b86a4042e5a7,university_counsel,https://universitycounsel.ubc.ca/policies/students-abroad-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/375c14c5-3041-45d1-9f26-b86a4042e5a7,,Students Abroad Policy,2025-10-27T23:04:43+00:00,2026-09-10T23:22:07Z,375c14c5-3041-45d1-9f26-b86a4042e5a7,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07""], ""responsible_executive"": [], ""rules"": []}",[],SC12,69,Student Safety Abroad,2019-07-01,2019-09-01,,,listed,True,policy_index,f9c9a3d407f318578be6533e399ebd5ab419d6ecce79679f6b469b6533aa99a1
university_counsel:58e7a71b-04f8-46d7-add2-ef5108a939e0,university_counsel,https://universitycounsel.ubc.ca/policies/financial-aid-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/58e7a71b-04f8-46d7-add2-ef5108a939e0,,Financial Aid Policy,2025-11-07T21:54:28+00:00,2026-09-10T23:22:07Z,58e7a71b-04f8-46d7-add2-ef5108a939e0,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07""], ""responsible_executive"": [], ""rules"": []}",[],LR10,72,Access to the University of British Columbia,2025-11-07,2025-11-07,,,listed,True,policy_index,f6cddaed4a5ae6d7b417ebf4f2e79ebd5a0b383db365b20fd0da159af047b659
university_counsel:73118046-8abe-4866-9db9-c312752fe0e8,university_counsel,https://universitycounsel.ubc.ca/policies/video-cameras-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/73118046-8abe-4866-9db9-c312752fe0e8,,Video Cameras Policy,2026-06-18T01:02:17+00:00,2026-09-10T23:22:07Z,73118046-8abe-4866-9db9-c312752fe0e8,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07"", ""d58be87b-fbc5-41e1-a85c-355a4f167335""], ""responsible_executive"": [], ""rules"": []}",[],SC16,118,Safety and Security Cameras,2026-06-17,2016-02-01,,,listed,True,policy_index,96ebc547d956b55731cb99ebb9d7f5c171974d35c5de1b99af919bb08bfad276
university_counsel:8634e4f2-f79b-486b-91e7-1a757d8dfe1a,university_counsel,https://universitycounsel.ubc.ca/policies/discrimination-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/8634e4f2-f79b-486b-91e7-1a757d8dfe1a,,Discrimination Policy,2025-10-27T23:04:55+00:00,2026-09-10T23:22:07Z,8634e4f2-f79b-486b-91e7-1a757d8dfe1a,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07"", ""b08b1710-a8cb-438b-a0b2-adc835a320f6"", ""fe7cb22e-f824-4df5-beb4-1b020ab05568""], ""responsible_executive"": [], ""rules"": []}",[],SC7,3,Discrimination,2019-09-01,2019-04-01,,,listed,True,policy_index,48d7d0f9a9ac71d9d685929418cb3bb957933094f0b353474a6ba697a3860ad4
university_counsel:8d3d7951-d30a-41ad-9797-8416a1e4e3fd,university_counsel,https://universitycounsel.ubc.ca/policies/health-and-safety-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/8d3d7951-d30a-41ad-9797-8416a1e4e3fd,,Health and Safety Policy,2026-02-02T20:57:44+00:00,2026-09-10T23:22:07Z,8d3d7951-d30a-41ad-9797-8416a1e4e3fd,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07"", ""c743e914-d974-4876-bc21-29744cd3922c"", ""51f82ef6-61bc-44ce-b1d8-30347519e7e3"", ""8634e4f2-f79b-486b-91e7-1a757d8dfe1a"", ""36977c18-a390-4e07-a529-f1be2d65ff83"", ""9a511d07-650b-411b-9c80-09dc16a3f70b"", ""fe7cb22e-f824-4df5-beb4-1b020ab05568"", ""63544614-d331-45a0-ba37-511e4741f0ae""], ""responsible_executive"": [], ""rules"": []}",[],SC1,7,Occupational and Research Health and Safety Policy,2019-07-01,2026-01-30,,,listed,True,policy_index,cbeba70f91969da8deb6504c80e48f21443606f84594c619e1dd1fff55e11325
university_counsel:9a511d07-650b-411b-9c80-09dc16a3f70b,university_counsel,https://universitycounsel.ubc.ca/policies/risk-behaviour-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/9a511d07-650b-411b-9c80-09dc16a3f70b,,At-Risk Behaviour Policy,2026-06-18T00:46:30+00:00,2026-09-10T23:22:07Z,9a511d07-650b-411b-9c80-09dc16a3f70b,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07"", ""8d3d7951-d30a-41ad-9797-8416a1e4e3fd"", ""8634e4f2-f79b-486b-91e7-1a757d8dfe1a"", ""4dc35f8b-fc6f-4915-8247-fc01f774f3ef"", ""36977c18-a390-4e07-a529-f1be2d65ff83"", ""fe7cb22e-f824-4df5-beb4-1b020ab05568"", ""bb6c699d-ff76-44b4-ab18-3e5e28d126e3""], ""responsible_executive"": [], ""rules"": []}",[],SC13,14,Response to At-Risk Behaviour,2020-04-01,2026-06-17,,,listed,True,policy_index,043f555769a200389827b9d2c5060223caed7d00bd87a8a91b5f1ab8b684c87b
university_counsel:b0818aa4-3313-4ab0-a8a5-9c6faaddcd0d,university_counsel,https://universitycounsel.ubc.ca/policies/tuition-consultation-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/b0818aa4-3313-4ab0-a8a5-9c6faaddcd0d,,Tuition Consultation Policy,2025-10-27T23:04:43+00:00,2026-09-10T23:22:07Z,b0818aa4-3313-4ab0-a8a5-9c6faaddcd0d,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07""], ""responsible_executive"": [], ""rules"": []}",[],LR4,71,Consultation with Students about Tuition and Mandatory Fees,2019-09-01,2019-09-01,,,listed,True,policy_index,0027e08d071d79ee8d568c5f9ac26b2baef10749bb8e8ea1f5917a1bf06c8806
university_counsel:b08b1710-a8cb-438b-a0b2-adc835a320f6,university_counsel,https://universitycounsel.ubc.ca/policies/disability-accommodation-policy,https://universitycounsel.ubc.ca/jsonapi/node/policy/b08b1710-a8cb-438b-a0b2-adc835a320f6,,Disability Accommodation Policy,2025-10-27T23:04:43+00:00,2026-09-10T23:22:07Z,b08b1710-a8cb-438b-a0b2-adc835a320f6,"{""policy_documents"": [], ""related_policies"": [""c847edf9-a3de-4c4e-b96b-993affaa4a07"", ""8634e4f2-f79b-486b-91e7-1a757d8dfe1a""], ""responsible_executive"": [], ""rules"": []}",[],LR7,73,Accommodation for Students with Disabilities (Joint Senate and Board Policy),2019-09-01,2018-12-01,,,listed,True,policy_index,895faf5c3ea32567d1c5b3774f9a63381d129f9285d0317f60d1cb98796802c3
