id,category,subcategory,source_id,source_url,api_url,upstream_id,title,content_markdown,content_sha256,campus,audience,source_modified_at,retrieved_at,source_records,links,warnings,markdown_path
prose:library:14271c16db78708970e80cf9,prose,library,library,https://answers.library.ubc.ca/askus/faq/216170,,,UBC Library FAQs,"Reactivating library access may mean renewing an account to borrow physical materials, and, in some cases may also mean renewing eResource access via OpenAthens:

-   **UBC Students, Faculty \(including Emeriti\) and Staff**: Users with an active appointment in Workday do not need to renew library access; physical borrowing and eResources access are renewed automatically as long as your status in Workday remains active\. 
-   **Alumni**: Alumni who have [applied for access to physical borrowing at the library](https://alumni.ubc.ca/services/library/) do not need to renew their library account\. Alumni [with an active OpenAthens account](https://guides.library.ubc.ca/connect/openathens/alumni) will receive an automated renewal reminder every 5 years\.
-   **Affiliated Staff**: Staff and Faculty who work at any of UBC's affiliated colleges \(Corpus Christi College and St\. Mark’s College; Regent College; Carey College; Vancouver School of Theology\) renew their physical borrowing and eResources access yearly, following the academic calendar\. Accounts will expire on September 15th of each year\.
-   **Faculty Authorized Users**: Faculty Authorized Users must renew their accounts \(physical borrowing and eResources access\) yearly, following the academic calendar\. Accounts will expire on September 15th of each year\. 
-   **Reciprocal Borrowing**: UBC and non\-UBC students requesting Reciprocal Borrowing accounts must renew yearly, following the academic calendar\. Accounts will expire on September 15th of each year\. Note that Reciprocal Borrowing for non\-UBC students does not include remote access to eResources\. 
-   **Community Users**: Community users receive physical borrowing privileges\. Most Community accounts are valid 1 year \(or less\) from the date of issue\.  Note that Community users do not receive remote access to eResources\. 
-   **Retired Staff**: Retired staff receive physical borrowing privileges\. Retired staff must have a ‘retired’ status in Workday\. Retired staff with a ‘retired’ status in Workday can [request a Retired Staff UBCCard](https://ubccard.ubc.ca/obtaining-a-ubccard/emeritus-retired-staff) to activate their physical borrowing privileges\. Note that Retired Staff do not receive remote access to eResources\.

Any users looking to renew or reactivate their library privileges should fill out an [Ask Us form](https://ask.library.ubc.ca/ask/)\.",fd1eb82c05754239f2eab22567633bc971c0b88b65b1775e506e1c23687122c8,,undergraduate_and_shared,,2026-09-11T05:18:13.461Z,[],"[{""text"": ""applied for access to physical borrowing at the library"", ""url"": ""https://alumni.ubc.ca/services/library/""}, {""text"": ""with an active OpenAthens account"", ""url"": ""https://guides.library.ubc.ca/connect/openathens/alumni""}, {""text"": ""request a Retired Staff UBCCard"", ""url"": ""https://ubccard.ubc.ca/obtaining-a-ubccard/emeritus-retired-staff""}, {""text"": ""Ask Us form"", ""url"": ""https://ask.library.ubc.ca/ask/""}]",[],prose/library/markdown/922b22f438be9f21dbbe2385e999e823f83add84568e2ec3b1a92d0dbf018e8e.md
prose:library:146152fe62ca1d60158e8f8f,prose,library,library,https://answers.library.ubc.ca/askus/faq/216141,,,UBC Library FAQs,"UBC Librarians create [Research Guides](https://guides.library.ubc.ca/menu) to help you locate resources and improve your research skills\. Find research guidance for subject areas or disciplines, broad topics, specific courses, research methods, and for finding and using different types of content and tools\.

You can also contact your [Subject Librarian](https://directory.library.ubc.ca/subjectlibrarians/) for assistance with finding and evaluating relevant sources of information\.",ffb0285946faaa9a54b3cc626f1704cdae6fa8209a4a4d308e66a49f9b55bc3b,,undergraduate_and_shared,,2026-09-11T05:17:03.472Z,[],"[{""text"": ""Research Guides"", ""url"": ""https://guides.library.ubc.ca/menu""}, {""text"": ""Subject Librarian"", ""url"": ""https://directory.library.ubc.ca/subjectlibrarians/""}]",[],prose/library/markdown/d07fc11eeb063700b2329c3d418f79ff095f2586fe8bcfce86f0c535d7abd5cd.md
prose:library:14dbfe11d17890240ea41e3e,prose,library,library,https://answers.library.ubc.ca/askus/faq/216167,,,UBC Library FAQs,"Please search the Library's [Catalogue](http://webcat.library.ubc.ca/) to check if a copy is already in our collection before submitting a request\.

For course materials or reserves, please use [LOCR \(Library Online Course Reserves\)](https://courses.library.ubc.ca/)

What happens after a title is suggested?

1.  A librarian reviews your suggestion and may order the title if it meets our Collection Development Policies
2.  For non\-digital titles selected for purchase, if a library barcode is included in the form, you will be notified when the item is available for pick up

Note: Due to the high volume of suggestions we are unable to respond to all submissions

To suggest a book or other material, [complete this form](https://ask.library.ubc.ca/suggestbook/)\.",ffaf45d53701dc860de56ac30199e81703c6607b0c4f324bcd962bb707f6f058,,undergraduate_and_shared,,2026-09-11T05:17:43.469Z,[],"[{""text"": ""Catalogue"", ""url"": ""http://webcat.library.ubc.ca/""}, {""text"": ""LOCR (Library Online Course Reserves)"", ""url"": ""https://courses.library.ubc.ca/""}, {""text"": ""complete this form"", ""url"": ""https://ask.library.ubc.ca/suggestbook/""}]",[],prose/library/markdown/184ba155c7ffe8d09dfdf7a4ea210b3b5b6283dd56bf6410b9c7c24d7c87f5c7.md
prose:library:16e5968d6d9f6bd89db7cd9c,prose,library,library,https://answers.library.ubc.ca/askus/faq/216176,,,UBC Library FAQs,"UBC Library provides guidance on how to cite sources in multiple ways:

-   The [Library Skills Tutorial](https://guides.library.ubc.ca/library_tutorial/citation) provides an overview of citation topics
-   Select a [Citation Guide](https://guides.library.ubc.ca/citation), curated by UBC Librarians, to help you cite in a specific citation style, cite different types of sources including AI, or learn about citation software
-   [Chat](https://answers.library.ubc.ca/askus/) with a library employee live online
-   [Visit](https://hours.library.ubc.ca/) a library location and ask your question at a service desk
-   Attend a workshop on [citation management software](https://libcal.library.ubc.ca/calendar/vancouver?cid=-1&amp;t=g&amp;d=0000-00-00&amp;cal=-1&amp;ct=33741&amp;inc=0)
-   Contact your [subject librarian](https://directory.library.ubc.ca/subjectlibrarians/)",4c109e0d70b93ace4f3c8873ca1df0d10d67d60cd0ea46a8b6d1c6caabb07ecb,,undergraduate_and_shared,,2026-09-11T05:19:13.611Z,[],"[{""text"": ""Library Skills Tutorial"", ""url"": ""https://guides.library.ubc.ca/library_tutorial/citation""}, {""text"": ""Citation Guide"", ""url"": ""https://guides.library.ubc.ca/citation""}, {""text"": ""Chat"", ""url"": ""https://answers.library.ubc.ca/askus/""}, {""text"": ""Visit"", ""url"": ""https://hours.library.ubc.ca/""}, {""text"": ""citation management software"", ""url"": ""https://libcal.library.ubc.ca/calendar/vancouver?cid=-1&t=g&d=0000-00-00&cal=-1&ct=33741&inc=0""}, {""text"": ""subject librarian"", ""url"": ""https://directory.library.ubc.ca/subjectlibrarians/""}]",[],prose/library/markdown/f3ce100a50cd6abe940f3033def830e74a044390c3d9cad485e993f2a78e369b.md
prose:library:1f08eac1275bdb4f58489c3d,prose,library,library,https://answers.library.ubc.ca/askus/faq/216356,,,UBC Library FAQs,"This error indicates that your account is not authorized to view the resource\.

In some cases, the resource may be included in UBC Library's subscription, but it has not yet been correctly configured on the backend of the OpenAthens system, which is used to provide access\.

Try clearing your browser cache and signing back into OpenAthens via the [UBC Library homepage](https://www.library.ubc.ca/ ""https://www.library.ubc.ca/"")\. Then click “Login” in the top\-right corner and select “OpenAthens Login” from the dropdown menu\.

If the issue persists, connect with our support team by completing an [Ask Us form](https://ask.library.ubc.ca/ask/)",92ed6003437677d76170c106099c7636056662b5f5bb575ab31532a9ac350bb8,,undergraduate_and_shared,,2026-09-11T05:22:03.557Z,[],"[{""text"": ""UBC Library homepage"", ""url"": ""https://www.library.ubc.ca/""}, {""text"": ""Ask Us form"", ""url"": ""https://ask.library.ubc.ca/ask/""}]",[],prose/library/markdown/9fa764cf0e3947fe65f5ebd455cb4cc38db59082f50feac8fb9e72dbecacb985.md
prose:library:2dc1737d63e3614c34680195,prose,library,library,https://answers.library.ubc.ca/askus/faq/216174,,,UBC Library FAQs,"Yes, you can view books from a library storage location \(PARC or ASRS\), even if you do not have a library card\! Note that materials in transit from storage locations often take several days and may not be available same\-day\. It is strongly recommended that users without a library card [contact UBC library](https://answers.library.ubc.ca/askus/) to request items from storage before coming to campus\. 

-   **PARC materials** \- contact [Koerner Library](https://koerner.library.ubc.ca/) to request items from PARC\. Items from PARC may take several days to reach Koerner Library\. Koerner Library staff will contact you when the items have arrived\. 
-   **ASRS materials** \- contact the [Music, Art and Architecture Library](https://maa.library.ubc.ca/) \(MAA\)\. Items from the ASRS may take several hours to several days to reach MAA\. MAA staff will contact you when the items have arrived\.  

Storage items are available for patrons without a library card to view in\-library only\. 

Users **with** a library card can follow the steps outlined on the [Library's Access Storage](https://services.library.ubc.ca/borrowing-services/storage/#fragment-a750fa8566bf75e9a6d930107eaa35ba-0) page to request materials\.",c46da45e8de94a1c6edfc058dd23671b08523043ba0eecdb1845c8cf7b9954b6,,undergraduate_and_shared,,2026-09-11T05:18:53.411Z,[],"[{""text"": ""contact UBC library"", ""url"": ""https://answers.library.ubc.ca/askus/""}, {""text"": ""Koerner Library"", ""url"": ""https://koerner.library.ubc.ca/""}, {""text"": ""Music, Art and Architecture Library"", ""url"": ""https://maa.library.ubc.ca/""}, {""text"": ""Library's Access Storage"", ""url"": ""https://services.library.ubc.ca/borrowing-services/storage/#fragment-a750fa8566bf75e9a6d930107eaa35ba-0""}]",[],prose/library/markdown/9ddfd841f777258fcd4d5cba12a1d82545a07b03489327456384e6b8032017eb.md
prose:library:3d65243f0915411087a76189,prose,library,library,https://answers.library.ubc.ca/askus/faq/216665,,,UBC Library FAQs,"Benefits include unified management of print and electronic resources, fewer manual workarounds, improved analytics, better system integration, enhanced security, and a clearer, more consistent discovery experience for users\.",b94b5b40cd2884205f2efdb36cab23a4b0c07ddfa09469950b891e892e0a0495,,undergraduate_and_shared,,2026-09-11T05:22:33.565Z,[],[],[],prose/library/markdown/aa20ccdf976ec7076994ffc4c0c37e7cfeb19e04981907e65af1dcdbd8f19a8e.md
prose:library:3e0fc17955277d53194838a6,prose,library,library,https://answers.library.ubc.ca/askus/faq/215694,,,UBC Library FAQs,"To book an appointment with your subject librarian for support with finding, evaluating and using all types of information sources, including literature reviews, consult the [subject librarian directory](https://directory.library.ubc.ca/subjectlibrarians/) and connect with your librarian\. 

For support with knowledge synthesis projects including systematic, scoping, and related reviews, visit the [Knowledge Synthesis service](https://knowledgesynthesis.library.ubc.ca/) page for more information\.

Visit the [Rare Books &amp; Special Collections](https://rbsc.library.ubc.ca/), [University Archives](https://archives.library.ubc.ca/), and [Okanagan Special Collections and Archives](https://library.ok.ubc.ca/spaces/special-collections-and-archives/) for details on how to plan a visit to engage with unique collections\.",672bc956c74a37b3db8760a996a23e8d42841e33fe2f574552e7510ee8b01a84,,undergraduate_and_shared,,2026-09-11T05:16:53.538Z,[],"[{""text"": ""subject librarian directory"", ""url"": ""https://directory.library.ubc.ca/subjectlibrarians/""}, {""text"": ""Knowledge Synthesis service"", ""url"": ""https://knowledgesynthesis.library.ubc.ca/""}, {""text"": ""Rare Books & Special Collections"", ""url"": ""https://rbsc.library.ubc.ca/""}, {""text"": ""University Archives"", ""url"": ""https://archives.library.ubc.ca/""}, {""text"": ""Okanagan Special Collections and Archives"", ""url"": ""https://library.ok.ubc.ca/spaces/special-collections-and-archives/""}]",[],prose/library/markdown/eaa33db04b0308f74d6273878c6868078b03abc520c0f223cfea4c7e11c8288a.md
prose:library:424cda0fedee7018feac3b32,prose,library,library,https://answers.library.ubc.ca/askus/faq/216228,,,UBC Library FAQs,"The **General tab uses Summon**, a discovery tool that searches across many library resources at once\.

The other tabs \(Books &amp; Media, Indexes and Databases, Journal Titles\) do not use Summon\. Instead, they connect to separate library systems designed for specific purposes\.

-   Use the **Books &amp; Media** tab to search the UBC Library Catalogue for books and other catalogue materials\. 
-   Use the **Indexes &amp; Databases** tab to locate subject\-specific research databases\.
-   Use the **Journal Titles** tab to look up a specific journal by title\.

Because these tabs search different systems, results may vary depending on which tab you use\.

Visit [How to Search Summon](https://guides.library.ubc.ca/summonhelp) for more details",ecc9fc41df4c20d4bc62cff546d7586b2a8d3c52f0005b4e8bac73f7a4163e59,,undergraduate_and_shared,,2026-09-11T05:20:03.584Z,[],"[{""text"": ""How to Search Summon"", ""url"": ""https://guides.library.ubc.ca/summonhelp""}]",[],prose/library/markdown/64e05e43146355f11bec0f297acd29ed82c63f3f5a3afeed4e30b7df79d6fd57.md
prose:library:43d89fc81bfb487cc1f49ed4,prose,library,library,https://answers.library.ubc.ca/askus/faq/215690,,,UBC Library FAQs,"UBC cardholders can order books and articles from other institutions via our Interlibrary Loan \(ILL\) service\.

UBC cardholders can request and track orders from other institutions\. Please review [UBC's Interlibrary Loan guide](https://services.library.ubc.ca/borrowing-services/ill/) for more information on how to order, fee information for Community Cardholders and Alumni, and contact information for UBC ILL\.",62f221ec31a2f3aaa31909febebfa42d94df7bb1043cb796dba9791c22dc07d2,,undergraduate_and_shared,,2026-09-11T05:16:20.453Z,[],"[{""text"": ""UBC's Interlibrary Loan guide"", ""url"": ""https://services.library.ubc.ca/borrowing-services/ill/""}]",[],prose/library/markdown/e8261fb2e2abb4bef69c821d02bb1fee8e7bb016b95c5c2e5e9d907a74127b81.md
