id,source_id,source_url,api_url,campus,title,source_modified_at,retrieved_at,upstream_id,related,unavailable_relationships,audiences,categories,record_sha256
it:02ae3159-c27e-49a3-953f-c1bf6f3cc131,it,https://it.ubc.ca/services/teaching-learning-tools/canvas-0,https://it.ubc.ca/jsonapi/node/service/02ae3159-c27e-49a3-953f-c1bf6f3cc131,,Canvas,2025-07-02T18:06:05+00:00,2026-09-10T23:21:54Z,02ae3159-c27e-49a3-953f-c1bf6f3cc131,"{""audience"": [""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""3194e707-abfe-4652-b892-235f121e77ca"", ""f5f90a00-39b1-4340-bab6-1533333ec525""], ""service_category"": ""bd51002d-c863-4e72-8b14-7e6a74ad10cb"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Faculty"", ""Staff"", ""Students""]","[""Learning Management System""]",60d8481e0d34763ca252d4ffd9ec538112152b61ca3e7aa6354799b76e08dd35
it:113c5009-efce-4de6-b8a1-c47fd9e272d8,it,https://it.ubc.ca/services/accounts-passwords/multi-factor-authentication-mfa,https://it.ubc.ca/jsonapi/node/service/113c5009-efce-4de6-b8a1-c47fd9e272d8,,Multi-factor Authentication (MFA),2026-05-14T22:16:50+00:00,2026-09-10T23:21:54Z,113c5009-efce-4de6-b8a1-c47fd9e272d8,"{""audience"": [""02778b91-3b23-4247-8b1e-a2920d1907e3"", ""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""98a7e3ed-5767-470c-a701-a7162636020d"", ""409e788f-5194-4603-a1e9-de8cdda49faa"", ""bb09bf2b-4912-4275-864f-f92152efb188"", ""76265391-fa23-44f4-a744-1a244a286119"", ""4bef46a2-5ff5-4760-a413-2a7d323d1c75"", ""e230dcad-2f32-46fd-af84-35f098069001"", ""fac8e1e0-f6a2-45a3-8bde-c92611e73382""], ""service_category"": ""9e3621cf-69a7-48c1-859a-1ce8066b39f3"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Admins"", ""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Authentication""]",6a2a99618187825a63d1de2f842a5f5993c031a596b1c1912a59ff25cf6bf237
it:22af54b9-6baa-4900-86c3-0d035f461c5e,it,https://it.ubc.ca/services/email-voice-internet/microsoft-planner,https://it.ubc.ca/jsonapi/node/service/22af54b9-6baa-4900-86c3-0d035f461c5e,,Microsoft Planner,2025-04-07T17:11:50+00:00,2026-09-10T23:21:54Z,22af54b9-6baa-4900-86c3-0d035f461c5e,"{""audience"": [""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [], ""service_category"": ""dca496f4-a7a5-4bc2-96fc-e64214af4a10"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Email & Messaging""]",1673919ee4f743cf93d6ed2ef62acaaf4246eb072e552eb855b2b847b3e7efd5
it:2538795d-38fe-4cdb-9455-380f47aaf31d,it,https://it.ubc.ca/services/email-voice-internet/ubc-student-email-service,https://it.ubc.ca/jsonapi/node/service/2538795d-38fe-4cdb-9455-380f47aaf31d,,UBC Student Email Service,2026-02-02T23:51:20+00:00,2026-09-10T23:21:54Z,2538795d-38fe-4cdb-9455-380f47aaf31d,"{""audience"": [""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""3292c6b4-8192-4db3-90d5-b5dc65fa652c"", ""5c32a0a9-825d-411a-b85d-b58493354867"", ""e3c061df-1dfe-46ce-8500-4f05a522944c"", ""96cb6732-8319-459e-8edb-6a971116e841"", ""d2e6d31a-46a2-4e2d-9ecf-ca0a9e4e1078"", ""11e1518e-6114-4aa3-9928-05d1cd6015b4""], ""service_category"": ""dca496f4-a7a5-4bc2-96fc-e64214af4a10"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Students""]","[""Email & Messaging""]",112a934dec0d87ce324ad94a29e6f056dc0ccb4acf41d479b6e2180c0e926a30
it:31f5a73d-7f0e-47a0-96bf-fd4299626503,it,https://it.ubc.ca/services/email-voice-internet/myvpn,https://it.ubc.ca/jsonapi/node/service/31f5a73d-7f0e-47a0-96bf-fd4299626503,,myVPN,2026-08-28T18:24:41+00:00,2026-09-10T23:21:54Z,31f5a73d-7f0e-47a0-96bf-fd4299626503,"{""audience"": [""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""278c97e4-f697-4fa4-b276-799a3c7b60e1"", ""c5d9ba82-c58c-463b-891c-87f8702819c2"", ""55f57f03-b32d-4406-994f-b4e5e67a4e45"", ""b6e92520-20f7-473c-a51c-81379bda864b"", ""a114bb6c-d710-4e6d-90a5-263a518cd82f""], ""service_category"": ""ba8844a2-ba07-496e-9b29-fd910e1d917d"", ""service_custom_content_reg"": [], ""additional_fields"": [], ""service_faqs"": []}",[],"[""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Internet & Cable""]",04691130436d161716c082c1e83dac6f9fec1da916f2c819b5dc8e720ee1e0e1
it:3a78bb9c-7418-474d-8050-cba415410fdb,it,https://it.ubc.ca/services/web-servers-storage/microsoft-onedrive,https://it.ubc.ca/jsonapi/node/service/3a78bb9c-7418-474d-8050-cba415410fdb,,Microsoft OneDrive,2026-06-19T17:13:38+00:00,2026-09-10T23:21:54Z,3a78bb9c-7418-474d-8050-cba415410fdb,"{""audience"": [""02778b91-3b23-4247-8b1e-a2920d1907e3"", ""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""37d361d7-09fc-423f-b36c-94ec670c9efc"", ""d8eaca9d-0978-4212-b493-bee9a850fcd5"", ""bfbc8ee2-3ff7-4710-abe5-89e0dfe7e66c"", ""af31b849-75df-4acb-928a-f0739cc254cd"", ""d96949b7-6493-44dd-966d-d6f17b68ccaf"", ""81aa07e5-a830-4c13-aefc-019f4b4a604a""], ""service_category"": ""5b6f5fa7-d813-45dd-8c49-3b5a8e4505f3"", ""service_custom_content_reg"": [], ""additional_fields"": [], ""service_faqs"": []}",[],"[""Admins"", ""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Servers & Storage""]",7f7ae742e939b81ed49706c6cc0cb349601b6cba2022df397253eaa55591bf09
it:3e309a3b-3bc4-480a-904d-42366a538c9f,it,https://it.ubc.ca/services/email-voice-internet/microsoft-whiteboard,https://it.ubc.ca/jsonapi/node/service/3e309a3b-3bc4-480a-904d-42366a538c9f,,Microsoft Whiteboard,2025-04-07T17:13:38+00:00,2026-09-10T23:21:54Z,3e309a3b-3bc4-480a-904d-42366a538c9f,"{""audience"": [""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""7fe0fbc6-fa85-4b70-8d99-b707ee0abc89"", ""64ffac89-8e52-49df-9e0d-1cbf1e7a1671"", ""043942aa-a440-4283-b10b-09d352cb1e05""], ""service_category"": ""dca496f4-a7a5-4bc2-96fc-e64214af4a10"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Email & Messaging""]",6773eb4086db9d6d21b4f1ec17fa272d40b0ec441108dcb50bdbe949efe56c05
it:5f80ee2b-1b30-4986-a3f1-352c0e3ae4d3,it,https://it.ubc.ca/services/campus-systems/workday-hr-finance-payroll-and-student-information-system,https://it.ubc.ca/jsonapi/node/service/5f80ee2b-1b30-4986-a3f1-352c0e3ae4d3,,"Workday (HR, Finance, Payroll and Student Information System)",2026-03-10T21:10:42+00:00,2026-09-10T23:21:54Z,5f80ee2b-1b30-4986-a3f1-352c0e3ae4d3,"{""audience"": [""02778b91-3b23-4247-8b1e-a2920d1907e3"", ""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [], ""service_category"": ""68d633bd-ee05-417d-be03-f6875a8c819f"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": []}",[],"[""Admins"", ""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Business & Administrative Systems""]",2ce84a84c4eeca4fe786d627618d95d1b9b9bb84de9a1418dfcfcf1c527ce684
it:71c8ab80-bba3-4897-b816-6e7ef7c3b86b,it,https://it.ubc.ca/services/teaching-learning-tools/survey-tool,https://it.ubc.ca/jsonapi/node/service/71c8ab80-bba3-4897-b816-6e7ef7c3b86b,,Survey Tool,2026-01-26T19:17:13+00:00,2026-09-10T23:21:54Z,71c8ab80-bba3-4897-b816-6e7ef7c3b86b,"{""audience"": [""02778b91-3b23-4247-8b1e-a2920d1907e3"", ""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""2c11576f-692b-4d61-bec9-0972d13902b9""], ""service_category"": ""64fd5742-8da7-4fb3-b752-5663027c37f8"", ""service_custom_content_reg"": [], ""service_faqs"": [], ""additional_fields"": [""054c5def-b455-4393-a230-2cdd695e0b8d""]}",[],"[""Admins"", ""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Productivity Tools""]",559fba98701323600360f7b7eef7cd8451751ff02c4337ed07057fd9141b001a
it:7292c4d4-c6c6-42fc-92bb-db3eb70030d5,it,https://it.ubc.ca/services/email-voice-internet/microsoft-teams,https://it.ubc.ca/jsonapi/node/service/7292c4d4-c6c6-42fc-92bb-db3eb70030d5,,Microsoft Teams,2025-05-29T22:42:25+00:00,2026-09-10T23:21:54Z,7292c4d4-c6c6-42fc-92bb-db3eb70030d5,"{""audience"": [""74cf3ce5-2fdf-46e7-a4a3-ec8c3e7fbc2f"", ""289a4e15-e22a-4431-9a44-f8b48d313f61"", ""a7b96f8d-aafd-40d1-9a2d-d2d1323d17b1"", ""7d7809b8-82b6-4c45-bb43-6961e63820ab""], ""knowledgebase"": [""249ea7bd-286e-45d1-a06c-09ba45e769ab"", ""83a820d3-904d-4bfe-8476-a7d733aff8c8"", ""d46d97b4-fcf9-44da-a994-916a0ff8ff69"", ""ed6e28df-5cea-474a-acd0-be5b8360a522"", ""49486b07-ca4b-407a-a127-ed3d8e48001e"", ""fae36d06-4ea4-4bc6-8bf1-2963cff42bb4"", ""aafbf0c1-cf89-488d-9ca9-c45fe86df68a""], ""service_category"": ""dca496f4-a7a5-4bc2-96fc-e64214af4a10"", ""service_custom_content_reg"": [""37e2c00a-0413-4463-b9c9-decf87d3f84d""], ""additional_fields"": [""f6b84323-69e2-4af2-8b09-03d46e821692"", ""17d735d1-2033-4fa8-8e05-9dde4cf922a1""], ""service_faqs"": []}",[],"[""Researchers"", ""Faculty"", ""Staff"", ""Students""]","[""Email & Messaging""]",a9dccf52cbbdc41ba1cda81cf019686ca04fc8a3872969e8cc09e187a721be74
